"","year","variety_id","region","location"
"1303",1997,"twin_states_seed_co-TS_267","region2","monmouth"
"1304",1997,"dairyland_seed_co-DSR_277","region2","monmouth"
"1305",1997,"dairyland_seed_co-DSR_277","region2","urbana"
"1306",1997,"terra_international-TS_253","region2","monmouth"
"1307",1997,"terra_international-TS_253","region2","urbana"
"1308",1997,"golden_harvest-H_1286","region2","monmouth"
"1309",1997,"golden_harvest-H_1286","region2","urbana"
"1310",1997,"wilken_seed_grains-2681_CN","region2","monmouth"
"1311",1997,"twin_states_seed_co-TS_267","region2","urbana"
"1312",1997,"griffith_seed_co-PL_2240","region2","monmouth"
"1313",1997,"griffith_seed_co-PL_2240","region2","urbana"
"1314",1997,"growmark-HS_2861","region2","monmouth"
"1315",1997,"growmark-HS_2861","region2","urbana"
"1316",1997,"merschman_seeds-CHEYENNE_V","region2","monmouth"
"1317",1997,"merschman_seeds-CHEYENNE_V","region2","urbana"
"1318",1997,"dairyland_seed_co-DSR_271_RR","region2","monmouth"
"1319",1997,"dairyland_seed_co-DSR_271_RR","region2","urbana"
"1320",1997,"crows_hybrid_corn_co-25006","region2","monmouth"
"1321",1997,"terra_international-E_277","region2","urbana"
"1322",1997,"uap_seeds-DG_3256","region2","monmouth"
"1323",1997,"uap_seeds-DG_3256","region2","urbana"
"1324",1997,"kruger_seed_co-K_3000","region2","monmouth"
"1325",1997,"kruger_seed_co-K_3000","region2","urbana"
"1326",1997,"kruger_seed_co-K_3032","region3","monmouth"
"1327",1997,"kruger_seed_co-K_3032","region3","perry"
"1328",1997,"kruger_seed_co-K_3040","region3","monmouth"
"1329",1997,"kruger_seed_co-K_3040","region3","perry"
"1330",1997,"terra_international-TS_285","region2","monmouth"
"1331",1997,"terra_international-TS_285","region2","urbana"
"1332",1997,"pioneer-9281","region2","monmouth"
"1333",1997,"pioneer-9281","region2","urbana"
"1334",1997,"terra_international-E_267","region2","monmouth"
"1335",1997,"terra_international-E_267","region2","urbana"
"1336",1997,"stine_seed_co-2686","region2","monmouth"
"1337",1997,"stine_seed_co-2686","region2","urbana"
"1338",1997,"crows_hybrid_corn_co-28003","region3","monmouth"
"1339",1997,"crows_hybrid_corn_co-28003","region3","perry"
"1340",1997,"kruger_seed_co-K_2818","region3","monmouth"
"1341",1997,"kruger_seed_co-K_2818","region3","perry"
"1342",1997,"kruger_seed_co-K_3033","region3","monmouth"
"1343",1997,"kruger_seed_co-K_3033","region3","perry"
"1344",1997,"kruger_seed_co-K_3032+","region3","monmouth"
"1345",1997,"kruger_seed_co-K_3032+","region3","perry"
"1346",1997,"lg_seeds-LG_6288","region3","monmouth"
"1347",1997,"lg_seeds-LG_6288","region3","perry"
"1348",1997,"dairyland_seed_co-DSR_300","region3","monmouth"
"1349",1997,"crows_hybrid_corn_co-25006","region2","urbana"
"1350",1997,"garst_seed_co-EX_7265","region2","monmouth"
"1351",1997,"wilken_seed_grains-2681_CN","region2","urbana"
"1352",1997,"garst_seed_co-D_278","region2","monmouth"
"1353",1997,"garst_seed_co-D_278","region2","urbana"
"1354",1997,"wilken_seed_grains-WE_459","region2","monmouth"
"1355",1997,"wilken_seed_grains-WE_459","region2","urbana"
"1356",1997,"wilken_seed_grains-2331_CN","region2","monmouth"
"1357",1997,"wilken_seed_grains-2331_CN","region2","urbana"
"1358",1997,"agratech-AT_274","region2","monmouth"
"1359",1997,"agratech-AT_274","region2","urbana"
"1360",1997,"terra_international-E_277","region2","monmouth"
"1422",1997,"kruger_seed_co-K_3131+","region2","urbana"
"1423",1997,"dairyland_seed_co-DSR_300","region2","monmouth"
"1424",1997,"dairyland_seed_co-DSR_300","region2","urbana"
"1425",1997,"wilken_seed_grains-2575","region2","monmouth"
"1426",1997,"wilken_seed_grains-2575","region2","urbana"
"1427",1997,"prairie_stream_farms-PSF_286","region2","monmouth"
"1428",1997,"prairie_stream_farms-PSF_286","region2","urbana"
"1451",1997,"kruger_seed_co-K_2818+","region3","monmouth"
"1452",1997,"kruger_seed_co-K_2818+","region3","perry"
"1453",1997,"great_lakes_hybrids-GL_2818","region3","monmouth"
"1454",1997,"great_lakes_hybrids-GL_2818","region3","perry"
"1455",1997,"stine_seed_co-2870","region3","monmouth"
"1456",1997,"stine_seed_co-2870","region3","perry"
"1457",1997,"kruger_seed_co-K_2918","region3","monmouth"
"1458",1997,"kruger_seed_co-K_2918","region3","perry"
"1713",1997,"dairyland_seed_co-DSR_300","region3","perry"
"1714",1997,"stine_seed_co-2788","region3","monmouth"
"1715",1997,"stine_seed_co-2788","region3","perry"
"1716",1997,"callahan_seeds-8275_X","region3","monmouth"
"1717",1997,"callahan_seeds-8275_X","region3","perry"
"1718",1997,"dairyland_seed_co-DSR_277","region3","monmouth"
"1719",1997,"dairyland_seed_co-DSR_277","region3","perry"
"1720",1997,"terra_international-E_277","region3","monmouth"
"1721",1997,"terra_international-E_277","region3","perry"
"1722",1997,"agratech-AT_274","region3","monmouth"
"1723",1997,"agratech-AT_274","region3","perry"
"1724",1997,"dekalb_genetics_corp-CX_289","region3","monmouth"
"1725",1997,"dekalb_genetics_corp-CX_289","region3","perry"
"1726",1997,"kruger_seed_co-K_3131+","region3","monmouth"
"1727",1997,"kruger_seed_co-K_3131+","region3","perry"
"1728",1997,"terra_international-TS_253","region3","monmouth"
"1729",1997,"terra_international-TS_253","region3","perry"
"1730",1997,"kruger_seed_co-K_3000","region3","monmouth"
